id,label_id,movie_id
1,15,1
2,6,1
3,16,1
4,19,2
5,6,2
6,4,2
7,16,3
8,3,3
9,16,4
10,11,4
11,16,5
12,7,6
13,2,6
14,18,6
15,16,7
16,3,7
17,19,8
18,6,8
19,7,9
20,7,10
21,19,10
22,18,10
23,16,11
24,11,11
25,3,11
26,16,12
27,5,12
28,15,13
29,6,13
30,11,14
31,7,15
32,19,15
33,3,15
34,11,16
35,18,16
36,11,17
37,3,17
38,18,18
39,16,19
40,7,20
41,7,21
42,16,21
43,11,21
44,2,22
45,11,22
46,18,22
47,18,23
48,11,24
49,10,24
50,11,25
51,3,25
52,11,26
53,11,27
54,3,28
55,19,29
56,10,29
57,11,31
58,11,32
59,10,32
60,19,33
61,3,33
62,6,34
63,16,34
64,11,34
65,11,35
66,3,35
67,11,36
68,14,37
69,16,38
70,16,39
71,3,39
72,11,40
73,11,41
74,8,41
75,7,42
76,2,42
77,11,42
78,11,43
79,7,44
80,19,44
81,16,45
82,11,45
83,11,46
84,3,46
85,2,47
86,18,47
87,15,48
88,6,48
89,13,48
90,3,48
91,11,49
92,3,49
93,2,50
94,18,50
95,7,51
96,11,51
97,18,51
98,16,52
99,11,53
100,6,54
101,16,54
102,11,55
103,19,56
104,6,56
105,4,56
106,11,57
107,11,58
108,3,58
109,11,59
110,17,59
111,19,60
112,6,60
113,4,60
114,11,61
115,18,61
116,11,62
117,16,63
118,16,64
119,3,64
120,16,65
121,10,66
122,18,66
123,11,67
124,16,68
125,3,68
126,16,69
127,7,70
128,16,70
129,2,70
130,5,70
131,18,70
132,7,71
133,16,72
134,11,72
135,11,73
136,13,73
137,11,74
138,3,74
139,16,75
140,11,75
141,10,76
142,18,76
143,14,77
144,11,78
145,11,79
146,18,79
147,11,80
148,2,81
149,11,81
150,3,81
151,11,82
152,11,83
153,16,84
154,11,84
155,11,85
156,3,85
157,19,86
158,11,86
159,6,87
160,16,87
161,16,88
162,7,89
163,18,89
164,11,90
165,11,92
166,18,92
167,16,93
168,3,93
169,11,94
170,7,95
171,18,95
172,16,96
173,11,97
174,7,98
175,18,98
176,14,99
177,11,100
178,18,100
179,16,101
180,16,102
181,18,103
182,16,104
183,11,105
184,3,105
185,16,106
186,11,106
187,19,107
188,6,107
189,16,107
190,13,107
191,14,108
192,16,109
193,7,110
194,11,110
195,8,110
196,11,111
197,18,111
198,7,112
199,19,112
200,2,112
201,11,113
202,17,113
203,11,114
204,16,115
205,14,116
206,2,117
207,16,118
208,3,118
209,16,119
210,11,120
211,11,121
212,16,122
213,3,122
214,11,123
215,17,123
216,3,123
217,16,125
218,19,126
219,6,126
220,4,126
221,14,128
222,16,129
223,3,129
224,11,130
225,11,131
226,3,131
227,18,132
228,16,133
229,11,133
230,14,134
231,16,135
232,14,136
233,14,137
234,11,138
235,7,139
236,11,139
237,11,140
238,3,140
239,16,141
240,11,143
241,16,144
242,7,145
243,19,146
244,6,146
245,11,147
246,11,148
247,2,149
248,11,149
249,18,149
250,11,150
251,11,151
252,3,151
253,8,151
254,5,152
255,7,153
256,19,153
257,16,153
258,2,153
259,11,154
260,11,155
261,8,155
262,16,156
263,16,157
264,8,157
265,19,158
266,6,158
267,11,159
268,7,160
269,19,160
270,17,160
271,10,160
272,11,161
273,18,161
274,8,161
275,14,162
276,7,163
277,3,163
278,18,163
279,2,164
280,1,164
281,17,164
282,18,164
283,7,165
284,18,165
285,16,166
286,11,166
287,11,167
288,7,168
289,19,168
290,11,168
291,3,168
292,19,169
293,6,169
294,11,169
295,7,170
296,2,170
297,18,170
298,16,171
299,7,172
300,10,172
301,18,172
302,7,173
303,19,173
304,10,173
305,16,174
306,11,175
307,16,176
308,5,177
309,16,178
310,11,179
311,3,179
312,16,180
313,7,181
314,6,181
315,11,182
316,3,182
317,18,183
318,11,184
319,10,185
320,18,185
321,16,186
322,16,187
323,5,188
324,16,189
325,18,190
326,11,191
327,14,192
328,11,193
329,11,194
330,16,195
331,11,195
332,3,195
333,5,196
334,10,196
335,11,197
336,7,198
337,2,198
338,10,198
339,11,199
340,13,199
341,18,200
342,11,201
343,11,202
344,3,202
345,16,203
346,7,204
347,16,205
348,11,205
349,14,206
350,11,207
351,3,207
352,7,208
353,19,208
354,11,209
355,12,210
356,11,211
357,16,212
358,11,214
359,11,215
360,3,215
361,16,216
362,11,217
363,18,217
364,16,218
365,11,218
366,11,219
367,5,220
368,11,222
369,3,222
370,16,223
371,16,224
372,11,224
373,3,224
374,11,225
375,18,225
376,18,226
377,7,227
378,16,228
379,11,229
380,18,229
381,11,230
382,18,230
383,16,231
384,16,232
385,11,232
386,11,233
387,16,234
388,16,235
389,11,235
390,16,236
391,3,236
392,16,237
393,3,237
394,19,238
395,6,238
396,15,239
397,6,239
398,16,239
399,3,239
400,18,240
401,6,241
402,11,241
403,11,242
404,13,242
405,15,244
406,6,244
407,2,245
408,11,245
409,14,246
410,11,247
411,4,247
412,3,247
413,18,247
414,16,248
415,11,249
416,3,249
417,6,250
418,16,250
419,7,251
420,16,252
421,3,252
422,11,253
423,5,253
424,11,254
425,16,255
426,16,256
427,10,256
428,17,257
429,18,257
430,19,258
431,6,258
432,16,258
433,4,258
434,3,258
435,2,259
436,11,259
437,18,259
438,7,260
439,19,260
440,4,260
441,10,260
442,11,261
443,6,262
444,11,262
445,11,263
446,11,264
447,11,265
448,3,265
449,11,266
450,3,266
451,8,266
452,12,266
453,11,268
454,11,269
455,11,270
456,3,270
457,11,271
458,11,272
459,11,273
460,5,273
461,16,274
462,16,275
463,16,276
464,3,276
465,11,277
466,16,278
467,11,279
468,11,280
469,18,280
470,11,281
471,11,282
472,2,283
473,11,283
474,11,285
475,5,285
476,7,286
477,10,286
478,18,286
479,16,287
480,3,287
481,7,288
482,18,288
483,16,289
484,3,289
485,2,290
486,11,290
487,18,291
488,7,292
489,11,292
490,18,292
491,2,293
492,11,293
493,3,293
494,18,293
495,16,294
496,3,294
497,16,295
498,3,295
499,2,296
500,11,296
501,11,297
502,16,298
503,11,299
504,11,300
505,11,301
506,3,301
507,11,302
508,3,302
509,7,303
510,19,303
511,12,303
512,16,304
513,11,304
514,16,305
515,11,306
516,11,307
517,11,308
518,11,309
519,16,310
520,5,311
521,18,311
522,16,312
523,15,313
524,6,313
525,11,314
526,7,315
527,7,316
528,19,316
529,10,316
530,6,317
531,16,317
532,4,317
533,11,318
534,18,319
535,1,320
536,18,320
537,11,321
538,16,322
539,11,322
540,16,324
541,16,325
542,7,327
543,16,327
544,13,327
545,10,327
546,5,328
547,7,329
548,19,329
549,10,329
550,16,330
551,5,330
552,11,331
553,5,332
554,10,332
555,16,333
556,11,334
557,17,335
558,18,335
559,11,336
560,8,336
561,11,337
562,10,338
563,18,338
564,16,339
565,3,339
566,19,340
567,11,340
568,11,341
569,16,342
570,3,342
571,6,343
572,16,344
573,16,345
574,11,345
575,11,347
576,16,348
577,7,349
578,19,349
579,18,349
580,11,350
581,17,350
582,18,350
583,16,351
584,11,351
585,3,351
586,16,352
587,7,353
588,3,353
589,18,353
590,11,354
591,6,355
592,16,355
593,16,356
594,3,356
595,8,356
596,16,357
597,3,357
598,11,358
599,16,359
600,11,359
601,3,359
602,7,360
603,16,360
604,11,361
605,3,361
606,19,362
607,6,362
608,3,362
609,14,363
610,15,364
611,6,364
612,13,364
613,11,365
614,5,366
615,16,367
616,2,367
617,4,367
618,7,368
619,16,368
620,12,368
621,11,369
622,16,370
623,16,371
624,11,371
625,16,372
626,11,372
627,18,373
628,6,374
629,16,374
630,11,375
631,7,376
632,18,376
633,7,377
634,3,377
635,18,377
636,16,378
637,3,378
638,7,379
639,10,379
640,7,380
641,19,380
642,16,380
643,3,380
644,11,381
645,11,382
646,5,382
647,12,383
648,7,384
649,11,385
650,11,386
651,7,387
652,16,387
653,11,388
654,11,389
655,3,389
656,8,389
657,7,390
658,16,390
659,11,390
660,2,391
661,11,391
662,19,392
663,6,392
664,7,393
665,7,394
666,11,395
667,11,396
668,5,397
669,14,398
670,11,399
671,11,400
672,7,401
673,18,401
674,16,402
675,14,404
676,7,405
677,10,405
678,11,406
679,5,407
680,18,407
681,11,408
682,11,409
683,16,410
684,16,411
685,11,412
686,16,413
687,16,414
688,16,415
689,18,415
690,12,416
691,16,417
692,3,417
693,11,418
694,16,419
695,7,420
696,16,420
697,19,421
698,6,421
699,18,422
700,7,423
701,18,423
702,11,424
703,11,425
704,3,425
705,5,426
706,10,426
707,18,426
708,17,427
709,3,427
710,18,427
711,11,428
712,16,429
713,11,430
714,2,431
715,11,431
716,16,432
717,12,432
718,16,433
719,7,434
720,19,434
721,2,434
722,16,435
723,10,435
724,11,436
725,18,436
726,16,437
727,7,438
728,16,438
729,11,439
730,16,440
731,3,440
732,16,441
733,7,442
734,10,442
735,14,443
736,16,444
737,3,444
738,16,445
739,11,446
740,3,446
741,16,447
742,3,447
743,11,448
744,16,449
745,16,450
746,11,450
747,11,451
748,17,451
749,3,451
750,11,452
751,16,453
752,11,454
753,18,454
754,19,455
755,6,455
756,11,455
757,11,456
758,7,457
759,18,457
760,11,458
761,12,458
762,7,459
763,16,460
764,11,461
765,3,461
766,7,462
767,19,462
768,2,463
769,11,463
770,18,463
771,7,464
772,19,464
773,2,464
774,18,464
775,7,465
776,11,465
777,8,465
778,7,466
779,16,466
780,8,466
781,16,467
782,16,468
783,3,468
784,11,469
785,3,469
786,16,470
787,16,471
788,3,471
789,16,472
790,11,472
791,16,473
792,8,473
793,7,474
794,18,474
795,11,475
796,16,476
797,11,476
798,11,477
799,16,478
800,7,479
801,7,480
802,19,480
803,10,480
804,11,481
805,18,481
806,18,482
807,11,483
808,19,484
809,6,484
810,7,485
811,16,485
812,16,486
813,16,487
814,12,487
815,11,488
816,16,489
817,18,490
818,11,491
819,16,492
820,17,492
821,7,493
822,2,493
823,11,493
824,7,494
825,18,494
826,11,495
827,16,496
828,11,496
829,3,496
830,16,497
831,3,497
832,11,498
833,3,498
834,16,499
835,3,499
836,16,500
837,11,501
838,7,502
839,6,502
840,11,503
841,7,504
842,10,504
843,16,505
844,11,506
845,7,507
846,11,507
847,11,508
848,11,509
849,3,509
850,11,510
851,7,511
852,11,511
853,5,512
854,10,512
855,16,513
856,17,513
857,3,513
858,16,514
859,11,515
860,16,516
861,11,516
862,8,516
863,7,517
864,11,517
865,17,517
866,16,518
867,10,519
868,18,519
869,16,520
870,2,521
871,18,521
872,7,522
873,11,522
874,11,523
875,11,524
876,11,525
877,11,526
878,11,527
879,8,527
880,11,528
881,11,529
882,11,530
883,6,531
884,11,531
885,16,532
886,2,532
887,5,532
888,7,533
889,11,534
890,3,534
891,11,535
892,11,536
893,16,537
894,11,537
895,11,538
896,16,539
897,3,539
898,18,540
899,1,541
900,10,541
901,16,542
902,16,543
903,3,543
904,18,543
905,7,544
906,11,545
907,7,546
908,19,546
909,6,546
910,10,546
911,7,547
912,19,547
913,18,547
914,7,548
915,14,549
916,16,550
917,3,550
918,6,551
919,16,551
920,13,551
921,7,552
922,19,552
923,16,552
924,12,553
925,18,554
926,7,555
927,2,555
928,3,555
929,14,556
930,11,557
931,7,558
932,19,558
933,15,558
934,6,558
935,4,558
936,16,559
937,11,560
938,18,561
939,16,562
940,11,562
941,11,563
942,16,564
943,16,566
944,3,566
945,11,567
946,16,568
947,11,568
948,6,569
949,16,569
950,16,570
951,11,570
952,11,571
953,11,572
954,11,573
955,16,574
956,11,574
957,6,575
958,16,575
959,16,576
960,19,577
961,6,577
962,11,578
963,17,578
964,18,579
965,11,580
966,14,581
967,16,582
968,11,584
969,16,585
970,6,586
971,16,586
972,16,587
973,3,587
974,18,587
975,15,588
976,6,588
977,16,588
978,13,588
979,7,589
980,10,589
981,18,589
982,19,590
983,11,590
984,12,590
985,7,591
986,11,591
987,18,591
988,7,592
989,19,592
990,2,592
991,11,592
992,11,593
993,18,593
994,15,594
995,6,594
996,13,594
997,15,595
998,6,595
999,13,595
1000,15,596
1001,6,596
